MÊS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
mar/15;OLEO DIESEL S10;22144;R$/l;2,958;0,142;2,499;3,75;0,343;0,048;2,615;0,111;2,122;3,382;0,042
mar/15;ETANOL HIDRATADO;35541;R$/l;2,226;0,276;1,65;3,61;0,381;0,124;1,845;0,251;1,381;2,757;0,136
mar/15;GASOLINA COMUM;39073;R$/l;3,323;0,186;2,749;4,529;0,448;0,056;2,875;0,127;2,243;3,451;0,044
mar/15;GLP;34101;R$/13kg;45,228;5,505;28;69;13,436;0,122;31,792;6,282;14;57;0,198
mar/15;GNV;2490;R$/m3;1,955;0,179;1,399;2,889;0,499;0,092;1,456;0,158;1,156;2,158;0,109
abr/15;OLEO DIESEL;24373;R$/l;2,809;0,147;2,349;3,7;0,332;0,052;2,477;0,109;2,127;3,056;0,044
abr/15;OLEO DIESEL S10;21138;R$/l;2,957;0,141;2,359;3,75;0,343;0,048;2,614;0,105;2,175;3,211;0,04
abr/15;ETANOL HIDRATADO;33790;R$/l;2,179;0,296;1,649;3,61;0,391;0,136;1,788;0,258;1,369;2,706;0,144
abr/15;GASOLINA COMUM;37269;R$/l;3,308;0,2;2,749;4,529;0,435;0,06;2,873;0,132;2,271;3,383;0,046
abr/15;GLP;31695;R$/13kg;45,765;5,512;28;70;14,083;0,12;31,682;6,004;14,66;52;0,19
abr/15;GNV;2283;R$/m3;1,986;0,19;1,459;2,889;0,516;0,096;1,47;0,195;1,121;2,258;0,133
mai/15;OLEO DIESEL;22157;R$/l;2,808;0,147;2,419;3,7;0,326;0,052;2,482;0,11;2,111;3,066;0,044
mai/15;OLEO DIESEL S10;19551;R$/l;2,956;0,14;2,569;3,75;0,339;0,047;2,617;0,108;2,3;3,04;0,041
mai/15;ETANOL HIDRATADO;30876;R$/l;2,141;0,309;1,579;3,61;0,37;0,144;1,771;0,269;1,363;2,706;0,152
mai/15;GASOLINA COMUM;33871;R$/l;3,299;0,205;2,749;4,519;0,432;0,062;2,867;0,134;2,441;3,389;0,047
mai/15;GLP;29306;R$/13kg;45,95;5,552;29,99;70;14,001;0,121;31,949;5,77;14,66;54;0,181
mai/15;GNV;2081;R$/m3;2,005;0,201;1,479;3,09;0,524;0,1;1,481;0,178;1,162;2,233;0,12
jun/15;OLEO DIESEL;25964;R$/l;2,807;0,147;2,45;3,7;0,322;0,052;2,485;0,114;2,113;3,126;0,046
jun/15;OLEO DIESEL S10;23032;R$/l;2,957;0,139;2,569;3,75;0,336;0,047;2,621;0,107;2,143;3,241;0,041
jun/15;ETANOL HIDRATADO;36073;R$/l;2,112;0,32;1,579;3,61;0,371;0,152;1,741;0,281;1,336;2,691;0,161
jun/15;GASOLINA COMUM;39539;R$/l;3,301;0,203;2,719;4,519;0,437;0,061;2,864;0,137;2,45;3,47;0,048
jun/15;GLP;33997;R$/13kg;45,92;5,605;29,99;70;14,024;0,122;31,896;5,654;14,66;55;0,177
jun/15;GNV;2353;R$/m3;2,023;0,2;1,399;2,999;0,56;0,099;1,463;0,192;1,157;2,315;0,131
